start_date,personal_info,end_date,salary,duration,student_id,high_perc,high_spec,mba_spec,second_perc,degree_perc,placed,experience_years,employability_perc,mba_perc,work_experience,degree_type,smell
2020-01-29,"Jennifer Hughes, 2005-02-05, F",2020-09-06,,3.0,128867032,79.76,Commerce,Mkt&HR,76.73,72.33,True,1,73.76,59.42,False,Comm&Mgmt,True
2020-01-02,"Ruth Holden, 2002-06-07, F",,30049.0,6.0,684592517,70.21,Commerce,Mkt&Fin,75.82,67.56,True,1,81.31,58.05,False,Sci&Tech,True
,"Angel Petersen, 2004-08-27, F",2020-09-05,22901.0,,487269146,75.71,Commerce,Mkt&Fin,63.41,79.68,True,1,86.59,66.61,True,Comm&Mgmt,True
2020-02-24,Wesley Craig,2020-10-02,27955.0,,954254673,53.04,Commerce,Mkt&Fin,65.28,71.48,True,1,85.93,54.14,False,Comm&Mgmt,False
2020-01-01,Christian Parks,2020-11-13,,,499876085,51.97,Science,Mkt&HR,59.0,51.87,True,1,90.64,58.35,False,Comm&Mgmt,False
2020-01-01,Stephanie Watson,,25464.0,3.0,699414926,82.32,Commerce,Mkt&Fin,67.94,73.83,True,1,91.4,64.7,True,Comm&Mgmt,False
2020-01-03,Jeffrey Rush,,,6.0,815337508,50.47,Science,Mkt&Fin,80.19,62.91,False,1,92.77,63.46,False,Comm&Mgmt,False
2020-06-17,"Lindsay Hendricks, 2003-01-08, F",2020-06-09,28728.0,3.0,305633971,65.08,Commerce,Mkt&Fin,70.37,84.87,True,1,97.07,71.26,False,Comm&Mgmt,True
2020-01-01,"Christina Taylor, 2004-09-03, F",,,3.0,960779008,85.46,Commerce,Mkt&Fin,70.92,65.35,True,1,71.96,63.26,False,Comm&Mgmt,True
,Melissa Buchanan,2020-08-21,,,706925865,64.33,Commerce,Mkt&Fin,79.48,73.79,True,1,51.62,57.28,False,Comm&Mgmt,False
2020-07-10,"David Pham, 2005-01-21, M",2020-09-02,36695.0,6.0,952488645,80.93,Commerce,Mkt&Fin,89.18,67.14,True,1,59.59,74.06,True,Comm&Mgmt,True
,Michael Preston,2020-12-11,,,314039328,68.2,Commerce,Mkt&HR,64.43,61.0,True,1,55.34,61.48,False,Comm&Mgmt,False
2020-01-15,"Robert Morales, 2003-12-16, M",2020-08-22,25417.0,,498914423,41.56,Science,Mkt&Fin,49.86,51.76,True,1,64.94,56.63,False,Comm&Mgmt,True
,John Powell,2020-07-30,,,910863295,54.95,Science,Mkt&Fin,55.67,62.71,False,1,69.12,63.29,False,Sci&Tech,False
2020-05-05,Jason Jackson,,,3.0,23531053,54.97,Science,Mkt&HR,83.48,60.19,True,1,64.43,67.82,False,Comm&Mgmt,False
2020-06-21,"Evelyn Lopez, 1999-09-18, F",,34764.0,3.0,841354710,61.07,Science,Mkt&HR,66.36,57.29,True,1,65.61,60.34,False,Comm&Mgmt,True
2020-01-07,"Tara Brown, 2005-12-19, F",2020-09-22,23785.0,12.0,101001713,64.27,Science,Mkt&Fin,68.59,61.45,True,1,55.5,60.23,False,Sci&Tech,True
2020-01-16,"Cheryl Jackson, 2002-01-19, F",,24277.0,12.0,945107990,81.0,Commerce,Mkt&HR,75.04,70.97,True,1,86.58,63.24,True,Comm&Mgmt,True
,"Leslie Watts, 2005-11-02, F",2020-08-23,21223.0,6.0,936563520,73.19,Commerce,Mkt&HR,84.64,69.41,True,1,73.75,61.82,False,Comm&Mgmt,True
2020-01-10,Joe Martinez,2020-04-23,23572.0,3.0,597035796,77.21,Commerce,Mkt&HR,79.98,62.94,False,1,70.67,59.97,False,Comm&Mgmt,False
,"Robert Mcfarland, 2005-06-17, M",2020-04-12,27224.0,,152950281,52.61,Science,Mkt&HR,59.48,66.08,True,1,60.47,58.43,True,Comm&Mgmt,True
2020-02-01,"George Stevens, 1999-02-20, M",,23681.0,,692971465,57.66,Science,Mkt&HR,65.91,66.59,False,1,53.24,59.6,False,Comm&Mgmt,True
2020-01-01,Allen Jones,2020-07-22,30337.0,12.0,493987192,59.57,Science,Mkt&Fin,51.55,57.26,False,1,85.73,57.24,False,Comm&Mgmt,False
,George Anderson,,21344.0,,181258537,72.23,Science,Mkt&HR,60.12,65.13,False,1,87.42,61.7,True,Comm&Mgmt,False
2020-03-08,"Jesse Collins, 2001-02-09, M",2020-09-13,,6.0,977248258,71.63,Commerce,Mkt&Fin,72.74,61.15,True,1,80.39,67.15,False,Comm&Mgmt,True
,"Patricia Rodriguez, 2001-07-11, F",,25923.0,3.0,109494675,60.73,Commerce,Mkt&HR,74.98,68.06,True,1,51.88,61.72,False,Comm&Mgmt,True
,Daniel Gomez,,,,722054406,74.29,Science,Mkt&Fin,67.42,57.9,True,1,58.79,51.99,True,Sci&Tech,False
,"Kyle Montes, 2000-06-19, M",,24242.0,3.0,838863132,97.7,Commerce,Mkt&HR,89.37,78.83,True,1,79.67,60.01,True,Comm&Mgmt,True
,Joe Hayes,2020-06-21,27879.0,3.0,514116431,91.11,Commerce,Mkt&Fin,88.62,85.18,False,1,81.7,62.1,True,Sci&Tech,False
2020-01-01,"Erin Strong, 2000-11-23, F",2020-07-17,,3.0,270579413,92.65,Science,Mkt&Fin,87.68,91.0,True,1,83.9,76.78,True,Sci&Tech,True
,"Charles Shepherd, 2003-10-06, M",2020-08-07,31035.0,,697402954,59.14,Science,Mkt&HR,65.61,53.36,False,1,73.27,59.43,True,Comm&Mgmt,True
,Austin Bridges,,26215.0,6.0,517517715,77.07,Science,Mkt&HR,85.54,74.45,True,1,60.51,58.84,True,Comm&Mgmt,False
,"Eric Dean, 1999-03-31, M",2020-07-22,35326.0,3.0,163623547,80.68,Commerce,Mkt&HR,83.4,79.76,True,1,70.91,65.1,True,Sci&Tech,True
2020-07-24,"Christopher Sanchez, 2000-02-09, M",,29629.0,,632541184,64.44,Science,Mkt&HR,65.28,54.65,True,1,67.3,58.66,True,Sci&Tech,True
2020-06-17,Taylor Long,2020-08-11,32500.0,3.0,87896041,92.9,Commerce,Mkt&Fin,86.25,78.19,True,1,70.45,70.79,False,Comm&Mgmt,False
,"Sabrina Turner, 2002-06-22, F",2020-05-01,,3.0,412419585,75.68,Commerce,Mkt&HR,83.57,80.6,True,1,93.95,69.9,True,Sci&Tech,True
2020-03-09,Omar Jones,2020-05-15,,3.0,568560513,51.03,Science,Mkt&HR,71.26,61.27,False,1,63.86,57.35,False,Comm&Mgmt,False
2020-01-01,"Jesse Johnson, 1998-10-17, M",,,6.0,383299150,81.08,Commerce,Mkt&HR,83.78,68.45,True,1,53.69,61.13,False,Comm&Mgmt,True
2020-01-03,Amber Lee,,32252.0,3.0,271622673,97.14,Commerce,Mkt&HR,78.12,62.23,False,1,91.39,64.09,False,Comm&Mgmt,False
,"Linda Rubio, 2003-12-25, F",2021-01-04,42227.0,3.0,996846873,55.86,Science,Mkt&HR,62.63,63.9,False,1,57.3,58.28,False,Comm&Mgmt,True
,Anthony Mendoza,2020-05-20,33577.0,3.0,456690201,64.76,Science,Mkt&HR,65.6,72.54,True,1,63.14,61.21,False,Sci&Tech,False
2020-01-01,"William Wang, 2000-09-02, M",,,12.0,293731584,44.0,Arts,Mkt&Fin,46.49,56.33,False,1,62.49,57.82,True,Comm&Mgmt,True
,Erik Ballard,,28189.0,3.0,7531215,66.77,Science,Mkt&Fin,70.64,71.79,True,1,78.4,57.66,False,Comm&Mgmt,False
2020-02-01,"Michael Williamson, 1999-09-15, M",2020-11-17,33838.0,6.0,280819526,78.07,Commerce,Mkt&Fin,66.92,66.2,True,1,68.06,52.64,False,Sci&Tech,True
,"Robert Bryan, 2002-03-23, M",2020-08-24,30505.0,3.0,545919105,83.51,Science,Mkt&Fin,76.12,66.12,True,1,86.99,66.14,True,Comm&Mgmt,True
2020-01-01,"Jacob Ramirez, 2006-07-23, M",2020-04-24,28723.0,12.0,819312139,73.0,Commerce,Mkt&Fin,73.49,64.49,False,1,71.78,66.94,False,Comm&Mgmt,True
2020-01-01,"Katherine Bird, 2003-01-25, F",2020-07-30,27243.0,12.0,266843442,65.71,Science,Mkt&Fin,70.29,65.99,True,1,81.13,63.45,True,Others,True
,Justin Soto,,,,559782669,75.2,Commerce,Mkt&HR,82.23,73.89,True,1,86.53,59.53,False,Sci&Tech,False
2020-04-16,Brian Jordan,2020-11-20,27467.0,12.0,761878395,53.68,Science,Mkt&HR,52.42,71.39,False,1,56.2,72.28,False,Sci&Tech,False
2020-05-21,"Paula Chandler, 2003-05-06, F",2020-09-29,,3.0,878419710,67.26,Science,Mkt&Fin,78.86,69.12,False,1,79.62,70.41,False,Sci&Tech,True
2020-01-01,William Jackson,,,12.0,376618217,64.86,Arts,Mkt&Fin,63.54,64.94,False,1,84.54,58.51,False,Sci&Tech,False
2020-01-02,"Gina Grant, 2000-07-02, F",2020-07-21,30899.0,3.0,366669254,90.11,Commerce,Mkt&Fin,81.42,73.93,True,1,58.86,72.66,True,Comm&Mgmt,True
2020-01-01,"Dakota Scott, 2000-09-03, M",2020-06-10,,,630514373,64.79,Commerce,Mkt&Fin,56.07,71.33,True,1,64.09,54.92,False,Sci&Tech,True
2020-07-24,"Michael Dunn, 1999-08-03, M",2020-10-23,,6.0,63201129,45.43,Science,Mkt&Fin,44.46,56.53,False,1,95.39,61.02,False,Comm&Mgmt,True
,"John Erickson, 2002-09-13, M",2020-11-10,31603.0,,404790469,76.61,Science,Mkt&Fin,54.44,57.71,True,1,73.69,60.82,True,Comm&Mgmt,True
2020-02-06,Karen Ford,2020-08-13,22684.0,,48496685,67.77,Commerce,Mkt&Fin,75.06,79.26,True,1,58.89,67.54,True,Comm&Mgmt,False
2020-01-04,Deanna Donaldson,,22543.0,,152907772,50.63,Commerce,Mkt&Fin,51.96,52.08,True,1,55.08,51.74,True,Others,False
,"Sarah Collier, 2003-11-21, F",,27081.0,6.0,864373786,54.7,Science,Mkt&Fin,62.22,57.41,True,1,69.95,64.28,True,Comm&Mgmt,True
,Rebecca Garcia,2020-08-16,,,199585894,51.26,Science,Mkt&HR,70.22,66.76,False,1,77.52,60.11,False,Comm&Mgmt,False
2020-01-01,"Alexis Chen, 2002-02-01, F",2020-05-20,37744.0,6.0,501194374,46.57,Science,Mkt&HR,71.93,71.45,False,1,92.9,65.09,False,Comm&Mgmt,True
2020-03-23,Devin Hobbs,,31695.0,3.0,497898112,70.55,Commerce,Mkt&HR,69.19,64.47,True,1,66.14,60.94,False,Sci&Tech,False
2020-01-01,"Eric Nelson, 2001-01-14, M",,,3.0,744365981,74.26,Commerce,Mkt&Fin,63.31,62.64,True,1,63.17,57.34,True,Comm&Mgmt,True
2020-06-21,"Heather Austin, 2000-10-23, F",2020-06-15,32058.0,3.0,223294591,64.15,Commerce,Mkt&HR,73.47,60.62,False,1,67.2,62.89,True,Comm&Mgmt,True
2020-01-01,Robyn Parrish,,,,211725479,74.4,Commerce,Mkt&Fin,75.5,68.28,True,1,77.86,71.25,True,Comm&Mgmt,False
,Joshua Harris,2020-10-08,38765.0,6.0,244244952,60.77,Science,Mkt&Fin,69.5,69.1,True,1,88.34,66.33,False,Sci&Tech,False
2020-01-01,"Brandon Gordon, 2005-04-29, M",,20654.0,6.0,805427791,70.05,Commerce,Mkt&Fin,74.38,62.43,True,1,84.78,58.9,False,Sci&Tech,True
2020-07-27,"Sharon Miller, 2001-03-04, F",2020-12-04,,,326652754,72.75,Commerce,Mkt&HR,66.85,64.56,False,1,63.35,64.63,True,Comm&Mgmt,True
2020-04-08,Jessica Carr,2020-11-15,,6.0,670774681,62.33,Commerce,Mkt&Fin,63.19,59.22,False,1,87.79,67.08,False,Comm&Mgmt,False
,"Richard Moss, 2006-01-17, M",2020-08-07,,3.0,198649342,84.8,Science,Mkt&HR,70.99,80.48,True,1,93.99,69.55,True,Sci&Tech,True
2020-02-21,David Wilson,,,,272229258,79.28,Commerce,Mkt&Fin,63.95,61.31,True,1,65.82,59.49,False,Comm&Mgmt,False
,"Thomas Crawford, 2002-08-26, M",2020-06-21,29644.0,3.0,718232621,70.86,Commerce,Mkt&Fin,68.95,67.02,False,1,74.3,66.53,False,Sci&Tech,True
2020-01-03,"George Rodriguez, 1999-01-19, M",2020-08-08,25843.0,,460003663,64.28,Commerce,Mkt&Fin,73.09,73.58,True,1,58.42,55.97,False,Comm&Mgmt,True
2020-01-01,"Kyle Hess, 2004-01-13, M",2020-06-03,38183.0,6.0,341738494,63.69,Commerce,Mkt&HR,51.42,64.68,True,1,81.71,52.58,True,Comm&Mgmt,True
2020-01-03,"Michael Kennedy, 2000-11-22, M",2020-08-25,24485.0,,909680395,59.47,Commerce,Mkt&Fin,59.55,66.54,False,1,66.35,55.3,False,Comm&Mgmt,True
2020-07-16,"Melissa Martinez, 2006-02-09, F",2020-07-26,,,892177938,52.85,Science,Mkt&Fin,53.51,61.16,False,1,57.79,62.3,False,Comm&Mgmt,True
2020-01-05,Phillip Torres,2020-05-21,29418.0,3.0,537333465,67.95,Commerce,Mkt&Fin,57.95,63.83,True,1,50.43,56.54,False,Comm&Mgmt,False
,"Johnny Anderson, 1999-07-15, M",2020-10-28,40153.0,3.0,128011759,60.45,Science,Mkt&Fin,73.99,54.81,False,1,85.8,59.31,False,Comm&Mgmt,True
2020-01-31,"Gary Gibson, 2004-10-01, M",2020-11-22,,6.0,917506460,93.07,Science,Mkt&Fin,65.39,62.38,True,1,86.38,62.03,True,Comm&Mgmt,True
2020-01-02,Jerome Cooper,2020-08-01,36435.0,6.0,411054743,85.18,Commerce,Mkt&Fin,73.37,71.08,True,1,96.18,71.04,True,Comm&Mgmt,False
