credit_card,country_code,card_type,credit_card_info
621366145,NA,jcb,"621366145,NA,jcb"
60946897,RO,visa-electron,"60946897,RO,visa-electron"
454360737,MX,jcb,"454360737,MX,jcb"
162595867,DJ,jcb,"162595867,DJ,jcb"
759607119,BR,jcb,"759607119,BR,jcb"
946709129,LU,visa-electron,"946709129,LU,visa-electron"
404161272,CL,maestro,"404161272,CL,maestro"
371507862,TL,bankcard,"371507862,TL,bankcard"
397457027,MN,visa-electron,"397457027,MN,visa-electron"
224057872,NZ,bankcard,"224057872,NZ,bankcard"
388348216,CV,jcb,"388348216,CV,jcb"
736222363,BA,china-unionpay,"736222363,BA,china-unionpay"
432642718,RS,jcb,"432642718,RS,jcb"
35617316,TD,jcb,"35617316,TD,jcb"
841548789,IE,visa-electron,"841548789,IE,visa-electron"
218326298,JM,laser,"218326298,JM,laser"
899988410,LR,jcb,"899988410,LR,jcb"
715808151,CM,jcb,"715808151,CM,jcb"
386973974,TW,jcb,"386973974,TW,jcb"
773564087,SG,jcb,"773564087,SG,jcb"
330531588,CR,diners-club-enroute,"330531588,CR,diners-club-enroute"
48366877,GE,jcb,"48366877,GE,jcb"
232062880,BB,instapayment,"232062880,BB,instapayment"
609223357,IT,diners-club-carte-blanche,"609223357,IT,diners-club-carte-blanche"
724173693,CY,mastercard,"724173693,CY,mastercard"
356389,PG,maestro,"356389,PG,maestro"
426647917,GW,visa,"426647917,GW,visa"
431073467,IS,visa-electron,"431073467,IS,visa-electron"
471967291,MX,jcb,"471967291,MX,jcb"
773311804,AZ,jcb,"773311804,AZ,jcb"
29021430,MN,visa,"29021430,MN,visa"
518882627,MC,maestro,"518882627,MC,maestro"
890533107,IR,jcb,"890533107,IR,jcb"
361925746,TJ,jcb,"361925746,TJ,jcb"
20256975,CZ,jcb,"20256975,CZ,jcb"
508583395,GY,switch,"508583395,GY,switch"
265810794,IQ,visa-electron,"265810794,IQ,visa-electron"
552278401,NA,jcb,"552278401,NA,jcb"
271371934,NP,jcb,"271371934,NP,jcb"
5299,GT,jcb,"5299,GT,jcb"
302600063,FR,jcb,"302600063,FR,jcb"
634791437,US,mastercard,"634791437,US,mastercard"
22806716,GE,laser,"22806716,GE,laser"
7946235,MV,instapayment,"7946235,MV,instapayment"
208272978,NI,laser,"208272978,NI,laser"
706128475,YE,jcb,"706128475,YE,jcb"
737654071,AM,jcb,"737654071,AM,jcb"
368873273,EG,jcb,"368873273,EG,jcb"
243327077,MK,diners-club-enroute,"243327077,MK,diners-club-enroute"
756816483,GY,jcb,"756816483,GY,jcb"
888189202,TN,jcb,"888189202,TN,jcb"
311375492,TR,jcb,"311375492,TR,jcb"
777479454,LB,jcb,"777479454,LB,jcb"
933271790,VC,jcb,"933271790,VC,jcb"
96292413,ZM,visa,"96292413,ZM,visa"
155897000,ZW,bankcard,"155897000,ZW,bankcard"
755070624,MK,switch,"755070624,MK,switch"
670105874,UZ,jcb,"670105874,UZ,jcb"
314117137,ER,americanexpress,"314117137,ER,americanexpress"
199454460,CU,diners-club-international,"199454460,CU,diners-club-international"
630477068,MA,bankcard,"630477068,MA,bankcard"
998943094,UZ,china-unionpay,"998943094,UZ,china-unionpay"
974186131,MG,diners-club-carte-blanche,"974186131,MG,diners-club-carte-blanche"
296356346,MW,mastercard,"296356346,MW,mastercard"
318803783,KN,americanexpress,"318803783,KN,americanexpress"
729918772,ET,jcb,"729918772,ET,jcb"
8730605,CO,diners-club-enroute,"8730605,CO,diners-club-enroute"
566112731,CZ,jcb,"566112731,CZ,jcb"
798338590,FJ,bankcard,"798338590,FJ,bankcard"
203440117,AM,maestro,"203440117,AM,maestro"
954041381,TR,americanexpress,"954041381,TR,americanexpress"
263554398,GW,jcb,"263554398,GW,jcb"
139917339,VU,visa,"139917339,VU,visa"
456841696,JP,diners-club-enroute,"456841696,JP,diners-club-enroute"
534406450,IN,diners-club-us-ca,"534406450,IN,diners-club-us-ca"
938901162,TW,jcb,"938901162,TW,jcb"
890581524,CG,mastercard,"890581524,CG,mastercard"
627432023,DZ,jcb,"627432023,DZ,jcb"
822815027,BE,jcb,"822815027,BE,jcb"
532153453,NE,visa-electron,"532153453,NE,visa-electron"
430238976,PE,mastercard,"430238976,PE,mastercard"
694884907,PG,diners-club-carte-blanche,"694884907,PG,diners-club-carte-blanche"
980242532,MW,jcb,"980242532,MW,jcb"
807972906,BZ,jcb,"807972906,BZ,jcb"
975206787,KN,americanexpress,"975206787,KN,americanexpress"
688784626,SD,laser,"688784626,SD,laser"
997070593,TM,maestro,"997070593,TM,maestro"
457618159,BB,jcb,"457618159,BB,jcb"
149640495,BZ,jcb,"149640495,BZ,jcb"
28574250,MA,jcb,"28574250,MA,jcb"
565514839,EE,laser,"565514839,EE,laser"
540398532,AG,visa-electron,"540398532,AG,visa-electron"
891194294,ME,maestro,"891194294,ME,maestro"
352504189,TZ,jcb,"352504189,TZ,jcb"
176503518,PY,jcb,"176503518,PY,jcb"
683313489,EG,china-unionpay,"683313489,EG,china-unionpay"
539461284,BT,maestro,"539461284,BT,maestro"
597101993,CV,jcb,"597101993,CV,jcb"
641121195,PK,visa,"641121195,PK,visa"
718204934,KG,maestro,"718204934,KG,maestro"
295176475,TL,diners-club-us-ca,"295176475,TL,diners-club-us-ca"
239060795,DE,switch,"239060795,DE,switch"
899670309,GW,china-unionpay,"899670309,GW,china-unionpay"
208205297,GE,jcb,"208205297,GE,jcb"
241999076,GT,laser,"241999076,GT,laser"
196237541,AM,americanexpress,"196237541,AM,americanexpress"
734097472,CR,jcb,"734097472,CR,jcb"
994849141,AZ,jcb,"994849141,AZ,jcb"
476983991,CL,jcb,"476983991,CL,jcb"
447897167,IT,diners-club-international,"447897167,IT,diners-club-international"
632898291,PL,china-unionpay,"632898291,PL,china-unionpay"
727977388,LB,switch,"727977388,LB,switch"
946892465,SA,solo,"946892465,SA,solo"
37574579,LB,bankcard,"37574579,LB,bankcard"
814975959,SC,jcb,"814975959,SC,jcb"
781794707,TT,diners-club-carte-blanche,"781794707,TT,diners-club-carte-blanche"
729232645,NE,visa-electron,"729232645,NE,visa-electron"
362323872,TJ,instapayment,"362323872,TJ,instapayment"
832625407,AG,instapayment,"832625407,AG,instapayment"
461836836,RU,solo,"461836836,RU,solo"
751435983,FJ,jcb,"751435983,FJ,jcb"
828394493,AZ,jcb,"828394493,AZ,jcb"
885659260,TD,laser,"885659260,TD,laser"
954772896,MM,switch,"954772896,MM,switch"
399968890,BH,americanexpress,"399968890,BH,americanexpress"
429859846,RU,china-unionpay,"429859846,RU,china-unionpay"
438608388,FJ,jcb,"438608388,FJ,jcb"
516850988,CI,jcb,"516850988,CI,jcb"
712430741,DJ,jcb,"712430741,DJ,jcb"
369923910,BW,china-unionpay,"369923910,BW,china-unionpay"
469609822,TJ,jcb,"469609822,TJ,jcb"
724623879,BZ,jcb,"724623879,BZ,jcb"
621503115,VU,americanexpress,"621503115,VU,americanexpress"
368353069,SC,diners-club-carte-blanche,"368353069,SC,diners-club-carte-blanche"
277630278,IS,visa-electron,"277630278,IS,visa-electron"
425073907,BR,americanexpress,"425073907,BR,americanexpress"
769062743,BJ,visa-electron,"769062743,BJ,visa-electron"
71497331,GQ,switch,"71497331,GQ,switch"
519012755,MR,jcb,"519012755,MR,jcb"
772536895,PY,bankcard,"772536895,PY,bankcard"
789670897,UY,jcb,"789670897,UY,jcb"
331546812,SN,mastercard,"331546812,SN,mastercard"
661469464,BE,jcb,"661469464,BE,jcb"
72233768,TH,jcb,"72233768,TH,jcb"
622915021,SO,jcb,"622915021,SO,jcb"
541666437,ZA,laser,"541666437,ZA,laser"
129254318,MY,mastercard,"129254318,MY,mastercard"
988043549,GB,switch,"988043549,GB,switch"
93310614,MA,jcb,"93310614,MA,jcb"
492976404,CL,jcb,"492976404,CL,jcb"
354458654,CL,jcb,"354458654,CL,jcb"
135717881,IT,jcb,"135717881,IT,jcb"
652013804,BF,jcb,"652013804,BF,jcb"
225465249,HR,instapayment,"225465249,HR,instapayment"
862970451,GR,americanexpress,"862970451,GR,americanexpress"
197476637,LC,americanexpress,"197476637,LC,americanexpress"
863688972,QA,visa-electron,"863688972,QA,visa-electron"
49549738,MD,jcb,"49549738,MD,jcb"
465227067,CZ,china-unionpay,"465227067,CZ,china-unionpay"
105095313,UA,diners-club-enroute,"105095313,UA,diners-club-enroute"
