guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number,street,city,state,zip_code,country,smell
dsullivan@example.net,True,BASIC,2.34,26 Mar 2020,11 Apr 2020,119.53,"90469 Karla Knolls Apt. 781
Susanberg, CA 70033",5161033759518983,,,,,,False
steven59@example.org,False,DELUXE,,02 Jul 2020,14 Sep 2020,174.7,,4133047413145475690,6108 Carla Ports Apt. 116,Port Evan,MI,71694,USA,True
brandon15@example.net,False,BASIC,22.08,30 Mar 2020,17 Mar 2020,148.34,"86709 Jeremy Manors Apt. 786
Port Garychester, NY 89396",4977328103788,,,,,,False
humphreyjennifer@example.net,False,BASIC,8.18,03 May 2020,22 May 2020,177.51,,3524946844839485,8906 Bobby Trail,East Sandra,NY,43986,USA,True
joshuabrown@example.net,False,SUITE,7.69,13 Jan 2020,10 Jan 2020,187.93,,4446905799576890978,732 Dennis Lane,Port Nicholasstad,DE,49786,USA,True
moondavid@example.com,False,BASIC,,09 Nov 2020,26 Nov 2020,106.12,,4265310195602383,812 Kimberly Forges,East Brianafurt,TN,07793,USA,True
patty61@example.com,False,BASIC,18.63,15 Oct 2020,24 Aug 2020,92.21,,30279530784085,7999 Sheila Forges Apt. 089,West Briannahaven,DC,42402,USA,True
michellehill@example.net,True,DELUXE,2.95,10 Oct 2020,06 Oct 2020,207.63,"0794 Bell Causeway Suite 830
Port Joseph, WV 87475",2285102384715773,,,,,,False
loganosborne@example.org,False,BASIC,15.75,26 Sep 2020,18 Sep 2020,120.99,,3541571714584497,436 Derek Walks Apt. 522,Davisburgh,OK,13124,USA,True
gkey@example.org,False,BASIC,8.37,08 Nov 2020,07 Dec 2020,252.04,,676377598427,26077 Small Courts,Brandonshire,IN,30170,USA,True
maykimberly@example.com,False,BASIC,,20 Oct 2020,30 Sep 2020,352.75,,3592111594414982,1943 Jones Crossing Apt. 570,Christensenview,SD,23020,USA,True
josephknight@example.com,False,BASIC,9.53,05 Sep 2020,25 Aug 2020,154.64,,4574626038921,315 Padilla Ports Apt. 924,New William,OH,86954,USA,True
nmoses@example.com,False,BASIC,48.12,01 Dec 2020,22 Nov 2020,273.01,,4646817800502538962,117 Delgado Island Apt. 504,New Carrie,MA,69574,USA,True
hamptonemma@example.net,True,BASIC,1.27,29 Jun 2020,20 May 2020,88.54,,2264002136181479,61701 Brown Inlet Suite 727,Davisburgh,AS,70337,USA,True
paula75@example.org,False,BASIC,25.07,16 Dec 2020,,167.43,,348818694390143,67341 Gill Springs Suite 388,Lake Josephshire,ND,91686,USA,True
zmurray@example.com,False,BASIC,11.49,11 Aug 2020,14 Oct 2020,174.93,"3373 Barbara Ramp Apt. 731
Port Paula, AR 38288",343590529390078,,,,,,False
rfletcher@example.net,False,BASIC,12.22,07 Jul 2020,09 Aug 2020,200.93,"410 William Fort Suite 078
Carrieport, VT 58792",6011030313305873,,,,,,False
smithsara@example.org,False,SUITE,18.51,21 Jul 2020,30 Jul 2020,329.95,,3531337373719044,4477 Paul Garden Apt. 483,Mcneilbury,MN,82285,USA,True
edwardstammy@example.com,False,BASIC,,21 Feb 2020,21 May 2020,107.9,"343 Baldwin Rest Apt. 946
East Hollyview, LA 42007",3584822997257725,,,,,,False
catherinemccormick@example.net,False,BASIC,17.94,15 May 2020,,83.99,"9445 Nicole Plaza Apt. 276
Eatonfurt, DC 18567",376430801126546,,,,,,False
jesse07@example.net,False,DELUXE,4.2,11 Dec 2020,,156.44,,4037339889329,1904 Wilson Creek Apt. 658,Lake Andrea,WY,90251,USA,True
wendyjohnson@example.org,True,BASIC,3.25,03 Apr 2020,08 Mar 2020,137.61,,3569823991576069,84957 Fields Plaza,Lake Benjamin,KY,84307,USA,True
omitchell@example.com,False,BASIC,0.38,17 Jul 2020,30 Jun 2020,84.73,,4810391941356,96390 Brady Bridge Suite 194,Lake Harold,PA,36574,USA,True
westjoseph@example.com,False,BASIC,0.39,26 Feb 2020,25 Mar 2020,85.69,,30551556869242,367 Williams Parks Apt. 846,Marshville,NH,89621,USA,True
jason43@example.org,False,DELUXE,48.12,20 Oct 2020,22 Sep 2020,220.05,,349602870740423,8186 Matthew Trail Suite 357,Port Markside,SC,92450,USA,True
kimlance@example.net,False,BASIC,40.82,23 Dec 2020,29 Dec 2020,124.62,,4161418441040,77720 Andrew Burg,Alexandermouth,ND,28613,USA,True
michaelwheeler@example.com,False,BASIC,0.07,08 Jan 2020,09 Jan 2020,104.7,"4148 Ryan Tunnel
Lake Jay, NM 34078",180019825720206,,,,,,False
randy76@example.com,False,BASIC,3.98,01 Jul 2020,10 May 2020,95.16,,3535124304486489,607 Moran Stream Suite 476,West Sara,OK,12134,USA,True
pschroeder@example.org,False,BASIC,37.49,20 Dec 2020,08 Dec 2020,142.12,"7944 Watkins Pass
East Dale, KS 28967",4902035177669,,,,,,False
ariana98@example.org,False,BASIC,3.44,28 Dec 2020,24 Dec 2020,83.83,"472 Dodson Shore
West Mitchellville, VI 84398",3506550214739424,,,,,,False
hillcourtney@example.com,False,BASIC,0.84,26 Feb 2020,14 Feb 2020,206.18,,3584123918086024,503 Andrea Throughway,South Loribury,TX,29844,USA,True
edwinherrera@example.org,False,BASIC,32.45,19 Dec 2020,02 Jan 2021,262.46,"Unit 1814 Box 8918
DPO AP 84144",3583977398272995,,,,,,False
nicolasodom@example.net,False,BASIC,11.13,01 Jun 2020,,252.21,"38971 Thompson Motorway Suite 674
Sarahfort, SC 76730",4286861979439116,,,,,,False
richard66@example.com,False,BASIC,0.17,16 Mar 2020,05 Mar 2020,142.49,,4329083901645640,504 James Cove Suite 629,Antonioshire,MD,92450,USA,True
james04@example.com,False,BASIC,11.28,15 Aug 2020,12 Sep 2020,98.46,,4518063110185373,24927 Scott Rest,Dawsonmouth,MA,93046,USA,True
arianafritz@example.org,False,BASIC,48.12,31 Oct 2020,22 Sep 2020,86.41,"06616 Johnson Fall
Maryton, OR 34388",4446428671871066,,,,,,False
ryan53@example.org,False,DELUXE,23.33,13 Aug 2020,22 Sep 2020,203.3,"6316 Brian Inlet Apt. 103
East Edward, ND 87314",639046647868,,,,,,False
bobbyreid@example.com,False,BASIC,47.57,09 May 2020,15 May 2020,84.54,"1573 Jose Burg
Kempland, MO 73717",3546804356032185,,,,,,False
latoya51@example.org,True,BASIC,0.61,07 Jun 2020,04 Jul 2020,238.03,,340691490658064,213 Luna Isle,Lake Frank,TN,44392,USA,True
duncanmegan@example.net,False,DELUXE,10.87,17 Mar 2020,17 Feb 2020,88.87,,6597769486721653,303 Lucas Forges Suite 796,Williammouth,NY,61985,USA,True
gabriel70@example.net,False,BASIC,48.12,17 Oct 2020,05 Nov 2020,87.76,,30135155814500,438 Kent Inlet Apt. 154,Wilsonville,NY,12624,USA,True
floreskristine@example.org,False,BASIC,,24 Jun 2020,02 May 2020,148.83,,6011819510591131,52701 Rivera Light,Fergusonberg,VT,94936,USA,True
lydiabenjamin@example.net,False,BASIC,0.49,16 Aug 2020,30 Jun 2020,164.27,"01757 Rebecca Ville
North Jonathantown, MT 05749",501891404730,,,,,,False
gcarroll@example.com,True,BASIC,1.3,21 Apr 2020,25 Mar 2020,92.85,,4129712498313,722 Kristine Dam Apt. 241,East Josephport,AL,31161,USA,True
jorge85@example.org,False,BASIC,11.03,28 Jun 2020,07 Jun 2020,181.5,,4911043735166894,56383 Melinda Oval,Wallacetown,PR,16577,USA,True
olsensharon@example.net,False,BASIC,34.69,01 Mar 2020,10 Apr 2020,208.0,"8545 Morgan Stream
Clairefurt, DC 46304",3555668582375207,,,,,,False
dschmidt@example.org,False,BASIC,14.85,30 Jul 2020,17 Jul 2020,116.95,,213158615508396,813 Leslie Square Apt. 873,Lake Stephen,NE,19558,USA,True
elizabethgutierrez@example.com,False,BASIC,17.34,17 Aug 2020,25 Jun 2020,131.11,"69915 Hernandez Trail
Port Gloria, LA 62412",4718716188915439,,,,,,False
sanchezangela@example.net,False,DELUXE,22.13,16 Dec 2020,03 Dec 2020,176.47,,371872392770288,589 Smith Views Suite 291,East Adam,WA,16329,USA,True
vanessaacevedo@example.org,False,BASIC,3.49,06 Dec 2020,16 Dec 2020,84.77,"9532 James Cove Suite 769
Port Rachelshire, FM 54311",345637248311683,,,,,,False
ericalandry@example.org,False,DELUXE,,22 Jun 2020,19 May 2020,121.39,"007 Edward Flats Apt. 586
Lake Maria, TN 79006",3534351797560220,,,,,,False
ramossamuel@example.org,False,DELUXE,2.58,07 Dec 2020,01 Dec 2020,121.19,"9006 Whitney Viaduct
Russoview, NC 60267",30067736569503,,,,,,False
pclark@example.net,False,DELUXE,6.75,05 Sep 2020,02 Aug 2020,172.9,,3568246387273375,3628 Jessica Key,Collinsfort,MD,43974,USA,True
hayesjeffery@example.net,False,BASIC,3.33,21 Nov 2020,24 Nov 2020,309.33,"5670 Bennett Run Apt. 065
East Jeremiah, NC 88351",3524466883698569,,,,,,False
julie49@example.com,False,BASIC,11.34,01 May 2020,27 Apr 2020,333.87,"906 Theresa Square
East Michele, GA 92947",639074650834,,,,,,False
caitlincasey@example.com,True,BASIC,1.97,06 Dec 2020,22 Nov 2020,96.09,"979 Gary Centers Apt. 795
North Lancemouth, IA 47785",3589934248488903,,,,,,False
justincervantes@example.org,False,BASIC,17.52,19 Jun 2020,20 Jun 2020,150.25,,36541279345160,61525 Holland Track,South Kayla,DE,04657,USA,True
robert27@example.com,False,BASIC,4.26,10 Nov 2020,11 Sep 2020,115.7,"181 Smith Crest
East Aaron, WA 28307",6510029831388441,,,,,,False
matthewlamb@example.com,False,BASIC,,24 Mar 2020,07 Mar 2020,181.36,"2999 Banks Well Suite 341
Andrewmouth, AS 64872",3560790999943816,,,,,,False
amoyer@example.com,False,BASIC,14.12,10 May 2020,18 May 2020,127.27,"1388 Maria Dam Suite 130
Jonstad, NH 62994",213171770647065,,,,,,False
jrobinson@example.net,False,BASIC,8.66,18 Aug 2020,17 Jul 2020,195.18,"75653 Donna Walk Apt. 422
South Matthewshire, MT 62719",2266719808278444,,,,,,False
thompsonsamantha@example.org,False,BASIC,2.98,16 Jan 2020,22 Feb 2020,141.76,"6985 Donald Viaduct Suite 805
Robinsonburgh, OR 29137",3571618979866474,,,,,,False
wdavidson@example.com,False,BASIC,3.17,01 Sep 2020,10 Sep 2020,95.42,"6558 Tanner Village Apt. 968
North Cristinaport, DE 40644",4144996563062849794,,,,,,False
druiz@example.com,False,DELUXE,1.76,16 Jul 2020,07 Aug 2020,345.26,"549 Phillips Dale
Strongport, NH 45080",3559931786412390,,,,,,False
baileyhoward@example.com,False,BASIC,20.96,04 Sep 2020,02 Jul 2020,164.1,"2423 Fisher Circles Suite 622
Taraport, KY 13532",374845103488413,,,,,,False
smiller@example.com,False,BASIC,48.12,14 Jul 2020,06 Aug 2020,95.51,"9690 Walker Radial
Turnerbury, NM 91430",3539822481701135,,,,,,False
lindsey88@example.com,False,BASIC,,20 Feb 2020,03 Feb 2020,331.22,"194 Carmen Gateway
Timothyhaven, AL 95173",3566515327829948,,,,,,False
jmcconnell@example.com,True,BASIC,8.9,06 Jan 2020,07 Jan 2020,97.71,"51235 Rose Expressway
North Ashleyshire, DC 62199",4227426144617853509,,,,,,False
kimberly45@example.org,False,BASIC,,08 Mar 2020,04 Mar 2020,309.27,,213106284869797,55959 Williams Stream Apt. 137,Davisport,MN,21342,USA,True
amanda81@example.com,False,BASIC,,04 Aug 2020,25 Jul 2020,99.34,"0320 Elizabeth Hills Apt. 993
New Veronica, NC 65740",30367648593397,,,,,,False
melissamcintosh@example.com,False,BASIC,17.72,13 Jun 2020,03 Aug 2020,203.32,"6482 Edward Mill Suite 392
Donaldsonstad, UT 45343",36758350709037,,,,,,False
urobertson@example.net,False,BASIC,0.83,31 May 2020,25 Apr 2020,126.81,"830 Logan Springs
South Anthonychester, LA 58330",4515909538160,,,,,,False
payala@example.com,True,BASIC,0.37,04 Jan 2021,05 Jan 2021,84.19,,2223282089214739,662 David Key,Monicaburgh,NM,67532,USA,True
adamslaura@example.net,False,BASIC,37.83,08 Oct 2020,01 Nov 2020,94.64,"95517 Moreno Village
East Beverly, MA 80920",4460822889639011505,,,,,,False
nicholas86@example.com,False,DELUXE,8.18,08 Jun 2020,03 Aug 2020,160.37,,30417835823568,82288 Jonathan Spring Suite 636,Griffinview,FM,37475,USA,True
kevin21@example.org,False,BASIC,48.12,24 Oct 2020,31 Oct 2020,190.96,"57222 Mitchell Terrace Suite 248
West Vickifort, TX 23313",4222113113118,,,,,,False
warnerkristopher@example.org,False,BASIC,48.12,24 Feb 2020,17 Feb 2020,167.66,"640 Stewart Plain Suite 593
Darrellburgh, CA 10432",3536276868075212,,,,,,False
oliviaking@example.org,False,BASIC,48.12,15 Mar 2020,06 Mar 2020,249.21,"45077 Campbell Isle
Jasonton, MN 81190",375220347074495,,,,,,False
bryanphelps@example.net,False,BASIC,14.16,16 Apr 2020,,99.16,,3520597526806575,83827 Thomas Bypass Apt. 311,Schultzton,MD,29901,USA,True
michelewright@example.com,False,BASIC,0.27,01 Jan 2021,04 Jan 2021,100.9,,5311426893134544,967 Romero Views,New Caitlin,PW,40100,USA,True
kyledudley@example.org,True,BASIC,0.41,30 Dec 2020,29 Dec 2020,118.66,,4615637666614936,3459 Nichols Curve,Steeleton,FM,53127,USA,True
helenwilson@example.org,False,BASIC,2.83,07 Jul 2020,06 Aug 2020,87.3,,4066160305102460611,21570 Susan Club Suite 425,Aaronmouth,IL,06934,USA,True
alvarezalice@example.net,False,BASIC,16.54,28 Nov 2020,26 Nov 2020,236.88,"14946 James Square
East Michael, MH 67454",3537982681670662,,,,,,False
nkelly@example.com,False,BASIC,48.12,01 Aug 2020,08 Aug 2020,113.19,,3535362487378640,489 Cesar Drive,West Heatherchester,FL,31037,USA,True
owallace@example.net,False,BASIC,12.73,09 Feb 2020,12 Feb 2020,132.63,,3572989758679308,8467 Elizabeth Street,East Carl,SD,03656,USA,True
dmatthews@example.net,False,BASIC,1.37,10 Aug 2020,30 Aug 2020,91.98,,676392064587,6643 Sean Summit,Terryville,PW,27509,USA,True
egonzales@example.com,False,BASIC,4.5,23 Aug 2020,30 Sep 2020,83.99,"14723 John Path
Hallview, SD 81329",4916690815636835,,,,,,False
patrick66@example.com,False,BASIC,12.94,04 Oct 2020,23 Aug 2020,112.33,"27956 Stephen Prairie Apt. 212
Port Carolynville, MH 78658",4301565592711485,,,,,,False
lynnjohnson@example.org,False,BASIC,0.02,05 Sep 2020,26 Jul 2020,107.82,,370346538790667,3661 Barnes Fields,Moyerton,FM,08428,USA,True
meghanharrington@example.com,False,BASIC,27.66,16 Mar 2020,13 Feb 2020,105.84,"981 Phillips Drive
South Dylanfort, LA 94288",4045519176177036,,,,,,False
garydavid@example.net,False,BASIC,37.15,09 Dec 2020,20 Dec 2020,197.76,"6887 Brown Wall Suite 958
West Jessicaside, WA 44167",566554083360,,,,,,False
emily36@example.com,False,BASIC,45.05,14 Mar 2020,03 May 2020,86.18,"7322 Stevenson Greens
Pearsonfort, IL 85695",3543464185103468,,,,,,False
shawn99@example.com,False,BASIC,4.5,29 Dec 2020,29 Dec 2020,142.61,"1898 Veronica Parkway Suite 812
West Danielborough, ND 18619",213195996696127,,,,,,False
ihuffman@example.com,False,BASIC,,05 Dec 2020,05 Dec 2020,91.48,,4797093166459,4042 Kelly Place Apt. 548,Rebeccaview,DC,64405,USA,True
hwaller@example.com,False,DELUXE,0.01,20 Oct 2020,06 Oct 2020,311.21,"198 Owens Crossing Suite 283
Bradymouth, OH 95491",3523597598128160,,,,,,False
larsenjessica@example.com,False,BASIC,13.19,16 Feb 2020,15 Mar 2020,262.25,,379335951039232,39738 Cruz Road Suite 441,Destinyside,GU,24087,USA,True
romanmonica@example.org,False,BASIC,48.12,15 Aug 2020,19 Sep 2020,141.79,"PSC 6782, Box 3051
APO AP 34277",6011815474809097,,,,,,False
steven96@example.org,False,BASIC,0.21,22 Mar 2020,09 Apr 2020,88.31,,213145436399683,0675 Miller Junction Apt. 910,North Brenda,IL,14513,USA,True
katherinewilson@example.com,False,BASIC,,05 Nov 2020,28 Nov 2020,179.46,,4264359839462887,3409 Douglas Rapids Apt. 194,Matthewmouth,WY,74030,USA,True
ramirezroy@example.org,False,SUITE,0.91,15 Sep 2020,04 Sep 2020,243.84,"11825 Daniel Mountain
Petersonmouth, KS 49988",30247222307549,,,,,,False
patrickangela@example.org,False,DELUXE,35.44,02 Feb 2020,01 Feb 2020,273.1,,4573075815347654,58492 Edwards Expressway Suite 938,Estradachester,AK,74266,USA,True
xknapp@example.com,False,BASIC,44.07,06 Dec 2020,22 Dec 2020,131.93,"11449 Bird Freeway
Thomasmouth, SC 07695",38747666993482,,,,,,False
sandra49@example.org,False,BASIC,1.62,02 Mar 2020,20 Feb 2020,108.42,,4082294605427,09628 Victoria Loaf Apt. 403,North Amy,AS,53133,USA,True
elizabeth92@example.org,False,DELUXE,11.93,03 Jul 2020,30 May 2020,173.77,,573996450835,18015 Mccarthy Garden Suite 514,Port Christophermouth,TX,92469,USA,True
williamschristina@example.com,False,BASIC,21.05,17 Dec 2020,,130.72,,4634108819865699,6380 Young Plain Suite 990,East Sara,NV,85238,USA,True
rodriguezmichael@example.net,False,BASIC,3.9,04 Aug 2020,20 Aug 2020,115.77,,30081367130477,28218 Matthew Crescent Apt. 658,West Meganmouth,OK,24317,USA,True
